walletId,mintAddress,rank
FssGM9Jcu2jq2WMc9p6Ew8y8mzEHsU7DVw3f3AYcfhQZ,ChznRDPVv7C97K3KJhBGhAhkZnp8iGHxRmenpDAwQQnn,1660
AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,2ZnQBW7bm7yWB3Y9Bd9o4vfFDDraPBCko2CgPGb2t9At,1700
9ZbjGVwvADQ8roWVYXywvut9Thmv5GwtZV2oCtiNuLqS,6ueHB84iD551J4xJyDXaYgsqguxGbpyVmSqmkKtfvRQD,1806
Cq5DXm9v42ceKwra9L5enGFKtxRujmDz59oCRMzbeM7E,CM4QHRZY98SzT8zP78BF7kmv9at3tsm6WT4wms1v51Jt,2014
2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,GHPPfDEzTJQ1pBtxa4XZfbFKnBZ3NGxCuT7AqUdD6U4g,2058
2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,EcL2oLhkeMFDHoQ77FfcSb52iYynNrjK7dUishVmDNeq,2074
3koLk37wAS18EBcb78Rf9YVR3sW93wEYMkop1bJRzgBw,27mhE2LKTP9rFJbRZBmX64kjLyQgHRtEmXMavAXi96H8,2115
F9kTBuNEVezYtmJQApyJXsgNekyNfpKYiUynY2g7c9Lq,4CNsEUw3vtJ4WJWww35rMwhybQ4G5vRjnF2ewqR8s1UD,2159
3qragjibZ8fgNk8DA3AbQaDNuMjrENXLMZfDXMWeDvUp,DbkASrrdc2cPB48Cufi7YHgmrS2M8MXqo8eaW9RxbYis,2179
ALhnZ9aJ5i7nbavs6GKvWYhvFHZ9447zJddWWcSTkMxp,BnPN1NN8KNaKBjtaUGf57cUae3nJjzdLKzhJZfAvPiD7,2365
3KBpcftPr2yFjBkpzGKh1HcWKLQRpcFTYo9xfv8T19Nj,6NZFiy5Y7wjX3kr1XSs48dws7SYjC1uYKRCWgpHWvqrL,2412
2HegnJrgwEs5zNCkbZHwGeHMUghLu6Dku2iEM94uMRzZ,9nuvhT2deRt3Z2zqGuLmZdLqx5KZ7tazdxX3Ezn2j8zN,2554
BNfZ4gsiRFY6g6nyKbRNKuABQUvc3EW1uJ4MxH57qbKg,7JX2WtZuZ4oGjTAtjbAqzdaaqKYYCVkjD1vyy5fMhnHV,2648
FQbxWyXZrDnxD9dTYYSVRmddzuSa14GxCsiAuRirUpgE,HaSqfmXnqpuh7CpjnxKG9X6a2CbCHS41eMmQgBpWC81z,2767
4fMd2cbWoxxHmPXibVy2jF2irf2EYT7csM6H511wP6Me,8cZuguajUihUG9Ys7hADeAvjetn42ai8DCiDPV1hBLTM,2831
5aAPkEiAUxHRUuB59kh8FNitCqQTzJmSRBRT34PDajfS,5Mr4xvevL8N5yWVGFY8EK3wRhwyN3ScrLcxcgtS9gcEB,2972
93fEEKfEuWKv5qgMGjNueW3ZpKLUipYyZ4zUBFbBrywy,Hit1d1UjD3HFEsTDt41mtd64WH7qvcm3CYMJK6gK9zeV,2986
FZXcdzpfzcUMiHC3cVJaCDr2SPf5vFoiXBN3uvz7ud5e,3TWXRA4V3HSQbuKWJJxeR7stghhahMTKmvCBZ6PCQ6GJ,3036
EGiJCaMqQazuWAM9Xd9BiHMJvgsNmWRd8QzFFhT4pmUF,FeKmwdF7TfkMxkSth4UQdyWNEtQQ4T5e7E55kGrf1Es,3079
2BYcTnRET4xvTNMBRP1oDXEggmcbrFtpjDUV3YinfD5m,4kzFQTAhwRirAGWDDuSxsPMRc1okFRrC5z1LoX1PBAjT,3095
AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,AyDBToRTcXexKWN4nrRsVCQYJG16kHhV2r7VKBpjxN4p,3145
4jXo9FKmzv16UoHsv8XcgscABrD1VmVV7YrUzo2mXwBh,AsbfthVF5XvvbUfDfo5RNDFQWCqdEmNb7WGaYTw13rFc,3180
FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,8Cprucav9f9DFaKEy6ZTNEp9PoaW5Fw4c2mpuNgJgSiC,3325
E3zN6kwwQiq7PTSV9vMm8MB6tPCiKu3zUKcZ1Ngi9ni1,GDjvUrAGPSJbwGLXjhGbTW4ewdzT9LkmUyUGAMFgGk7Q,3421
C28BQHWyLtLJQYQFKLfoNKPtygk6Q18goR168iZ1b9xv,CjrvYhdVUb4DiMcaa5HCvC6YrwphKgExDbRUJmn3M6x4,3436
67KwKAa7up54Tdh3sKuKK57dBU5cF5qyMG1ZsToXQyFu,HWV2buxE4fJpD4UcojQDyrXKeqvjhM2LJY6BGU2YLDa3,3498
52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,CuyWdY5zMsz7MUY9A6X14HZCKGcXtp5VPNimtNrS749i,3512
6LC79WWC1q5MfnpSvyfqcFDrKESquEzkiFufdswcKiSP,JAiAWyp1kPWR69AiqdtP2eGKAzCTRenJGyNy5SLLRX4q,3527
HXovyrg9cZvSMuNW9uPm1sHmLeKtedQcPvrQce3qgHeC,GuhvSQ37PFoDgiJc8Nop11FPfABLMAh59x77q8E48ekD,3662
5LfCTYxVQKkjhPeUrYjZhFdVyAguAsVKM4Mq5mJdUfHy,9X4qEv4chuufcQYQ9HxRhuxKVrB9jKMRtWrnvuAWhWmU,3684
