Amount,Wallet Address,Title,Email
200000.00,FssGM9Jcu2jq2WMc9p6Ew8y8mzEHsU7DVw3f3AYcfhQZ,Dfl New Year,
192000.00,Bi3nbDPZAWoemq3n9n5sQdRkCE2LWQpgDpUukUfd6VM8,,
184320.00,GaHmQvmHyPFey1p4tgiDgaz8fvAkxEQ6b7cRwMn5kbJQ,,
176947.20,FQbxWyXZrDnxD9dTYYSVRmddzuSa14GxCsiAuRirUpgE,,
169869.31,DfTqPf6v4i7HuZvmRix2aeTGDapspvgBvNwLKP5JhvGE,,
163074.54,AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,,
156551.56,F9kTBuNEVezYtmJQApyJXsgNekyNfpKYiUynY2g7c9Lq,,
150289.50,6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,,
144277.92,4JCZUq72QyY5k2rNnaz6VJAYKcR5TpRksQ28gHisxntt,,
138506.80,3qragjibZ8fgNk8DA3AbQaDNuMjrENXLMZfDXMWeDvUp,,
132966.53,AL8AAEKXuqxDzqLu91W4sQPMR13KNTfVBXcVq86uhGjs,,
127647.87,3KBpcftPr2yFjBkpzGKh1HcWKLQRpcFTYo9xfv8T19Nj,,
122541.95,EGiJCaMqQazuWAM9Xd9BiHMJvgsNmWRd8QzFFhT4pmUF,,
117640.27,Lf2dWfN34anbHXL99S7kgEQkmTyewnsdrNMM6q7mtGw,,
112934.66,CnnGaFbJ85E3UTfzm2gqQuGzkK3W3o2KkipKFemBEtnT,,
108417.28,8mCpEcwBVhZke6MtjrQ8b3nMKd1VZRH4Ldxh4Ydpm1tJ,,
104080.58,C28BQHWyLtLJQYQFKLfoNKPtygk6Q18goR168iZ1b9xv,,
99917.36,EmFnWjC1F99XXFyTYYvGTy6PSwHqGaVw8T1gR6LTLDrU,,
95920.67,Cj73sNP45XLpqSPSNQaMmVrsstNYmB4kKuBGpYKS5kBT,,
92083.84,GjFveoPYPj2KZwDHRckx9Mb3LzGgwjYVWP8wcJ4HMP5K,,
88400.49,ExHaaJBntmesZrwWsvTXB8CyRehGb7QfMQgXkSQECoxk,,
84864.47,5YQ12Cm7VmD8heHNh7JXKsD38Go7VrhuBirdG2hxXLt4,,
81469.89,CSd9uFgKtZX5LM9iEdvMgtr9NcLcqgxdfoixp6tqPhGq,,
78211.09,9V1f9fqAxHCBGMotQFq38tDk8PZxMbmgKDoqLeZdqYDK,,
75082.65,52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,,
72079.34,9YN8Q1siXKLzDMSGKrA5Ppr3Xjr9ungonxovjkEPDdqD,,
69196.17,H4ySyPFjXshAWvZ2mMUyLGmVVB3NgcZUG7tcNFxNF66v,,
66428.32,5LfCTYxVQKkjhPeUrYjZhFdVyAguAsVKM4Mq5mJdUfHy,,
63771.19,4rU9NTDjYsK6VkMLc4SWfbsbLeyjaHRYers27R6wa9GL,,
61220.34,9fGMD1yQHNu5TfVsJRo7x9kCBTgqx9o4eRFcPuZfcr1c,,
58771.53,C57WkPritXJaSnQwbmw4jws4C6dDBePjVV9dwcY5NWqq,,
56420.67,HNyiC4j2WRczz5rFT4mzq2gH2s6Anws4RbfbX4H3PifJ,,
54163.84,92pgcXNFM3KoHLrqmbSScJfNy2B8R8RKGnpH8DUJvQsq,,
51997.29,5aAPkEiAUxHRUuB59kh8FNitCqQTzJmSRBRT34PDajfS,,
49917.40,6LC79WWC1q5MfnpSvyfqcFDrKESquEzkiFufdswcKiSP,,
47920.70,8QeRBGyZmAGHdEkk2vMdLBD5b68fp49a9Um77sSJKhaE,,
46003.87,7RDhHrbQF6st2fjodzmHZevy3cb2G92WcoNX53syBCiR,,
44163.72,3RuWNCp2U8NkdHH5tP3P5V9Y8EZN8rMEZQHuQ71F2G1T,,
42397.17,AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,,
40701.28,CEw46U5swbDHnr5KspqGJcc1FR5DEDn6o3vDnkRa7Fwa,,
39073.23,2BKY3ZeC9A2VcDuYdpqnpNzj9zVe5Rb6ffn5UnqRWMwn,,
37510.30,2U6oLVVxRknFT83CS2U48XGFXRyCypK7FNqbngEUBnrh,,
36009.89,BkrXahqpa5cp3kHtA16VQ4Ts3W8fye6XwkSMT48k5JN2,,
34569.49,EdfRwZhejQQhSyBpYK88TDVU3AV8aeVUWbad5ogpA46z,,
33186.71,67KwKAa7up54Tdh3sKuKK57dBU5cF5qyMG1ZsToXQyFu,,
31859.25,2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,,
30584.88,FXyFBpeZHrv1eEF1xtvk997Sd1MW738myqBnvo1BTZ3q,,
29361.48,ZojB5FizdoDWJvg2JBtDymLP1efvTxTC1HYyYUtceay,,
28187.02,35Y8mpZkqjpQsvrWRXsqKHyajK9hTk6ZJ2vQbcdBrxxX,,
27059.54,4jXo9FKmzv16UoHsv8XcgscABrD1VmVV7YrUzo2mXwBh,,
